dbn,name,schoolyear,fl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,Total Grads - % of cohort,Total Regents - % of cohort,Advanced Regents - % of cohort,Regents w/o Advanced - % of cohort,Local - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,20082009,63.1,1682,2.7,9.8,4.0,38.2,51.6,5.1,8.7,91.3,85.1,53.2,38.8,14.4,31.9,9.5,3.4
02M605,HUMANITIES PREPARATORY ACADEMY,20082009,47.7,177,0.6,10.7,6.2,32.2,51.4,9.6,46.3,53.7,45.1,43.1,13.7,29.4,2.0,43.1,11.8
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHO,20082009,72.8,768,5.3,13.9,2.9,35.4,59.1,1.8,62.2,37.8,48.4,27.4,12.6,14.9,20.9,32.1,14.9
02M620,NORMAN THOMAS HIGH SCHOOL,20082009,68.7,2137,17.6,13.1,2.9,25.8,69.6,1.3,51.1,48.9,35.4,15.9,8.1,7.9,19.4,42.0,20.8
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,20082009,73.1,1788,9.8,16.4,2.0,36.1,59.2,2.5,49.7,50.3,32.7,22.0,1.3,20.6,10.7,35.1,30.3
02M630,ART AND DESIGN HIGH SCHOOL,20082009,44.0,1384,2.5,10.6,6.8,27.2,54.8,10.5,52.2,47.8,68.3,46.6,7.1,39.6,21.6,24.6,5.6
02M655,LIFE SCIENCES SECONDARY SCHOOL,20082009,62.6,686,5.1,15.7,2.3,29.9,65.0,1.6,50.0,50.0,83.1,53.8,15.4,38.5,29.2,8.5,8.5
02M690,SCHOOL FOR THE PHYSICAL CITY HIGH SCHOOL,20082009,62.9,123,8.9,17.9,8.1,30.9,55.3,4.9,49.6,50.4,37.5,15.6,0.0,15.6,21.9,35.9,26.6
02M896,GREENWICH VILLAGE,20082009,44.3,224,4.9,33.9,12.5,24.1,45.5,16.5,44.6,55.4,,,,,,,
03M009,PS 009 SARAH ANDERSON,20082009,23.1,523,5.5,9.9,7.6,10.3,24.1,56.2,48.4,51.6,,,,,,,
03M044,JHS 044 WILLIAM J O'SHEA,20082009,62.2,286,8.7,31.5,0.3,64.7,30.8,3.5,57.7,42.3,,,,,,,
03M054,JHS 054 B00KER T.WASHINGTON,20082009,31.3,806,8.1,13.6,9.7,20.0,25.3,44.5,51.4,48.6,,,,,,,
03M075,PS 075 EMILY DICKINSON,20082009,47.8,758,17.2,15.0,6.5,29.2,50.7,13.2,49.3,50.7,,,,,,,
